Name Energy_pa volume bandgap delta_e stability
141-V3Ga -7.54523632 7.39339 0.0 -0.30117226 -0.0872287865
142-V3Ge -6.76875313538 8.04853 0.0 -0.250513578205 -0.0202505732288
143-V3Si -7.87582493333 13.869 0.0 -0.197273177222 0.0264396771203
144-V5Ge3 -6.76726580308 7.99126 0.0 -0.251961840769 -0.0257718911815
145-V6Ga5 -7.86646417 13.3581 0.0 -0.200633325 0.0293695174969
146-VB2 -6.52920282429 10.2004 0.213 -0.535577298571 -0.535577298571
147-VC -6.75436349974 12.5801 0.0 0.0789390047368 0.131676025124
148-W2C -7.88194474 14.4126 0.0 -0.185536980833 0.0244817066478
149-MgB2 -6.44506774333 15.422 0.0 -0.167000645833 -0.0462892195482
150-WC -6.3191324275 15.4027 0.0 0.161809145625 0.28705975525
151-Y2ReB6 -6.67106530667 13.7323 0.0 0.0127507420833 0.096251315501
152-Y5Si3 -8.83324569667 19.4 0.0 -0.655102311667 -0.0523659082926
153-Y5Si4 -8.8867829275 19.9088 0.0 -0.2643331925 0.226994032577
154-YB12 -8.519979067 18.8953 0.0 -0.697280762 -0.00956139090998
155-YbAl3 -8.63406934187 19.1423 0.0 -0.678079131875 0.0033847901237
156-YbB6 -8.79389932333 9.93389 0.0 -1.023464675 -0.666437773379
157-YC2 -10.53384061 12.5234 0.0 -0.94761822125 4.21499999981e-05
158-YCrB4 -9.76563435667 14.6703 0.0 -0.108211441667 -0.108211441667
159-YFe2 -7.684664425 18.431 0.0 -0.39513374 0.251816286201
